date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:21	62327/62327	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202019%2013:09:13%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/index.html	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/index.html	(from )
00:26:21	707/707	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Feb%202021%2022:26:20%20GMT	http://www.aksisweb.com/robots.txt		(from )
00:26:23	127343/127343	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202019%2013:11:09%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/assets/lib/bootstrap/css/bootstrap.min.css	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/assets/lib/bootstrap/css/bootstrap.min.css	(from http://www.aksisweb.com/theme/fixed/layouts-1/index.html)
00:26:23	6635/6635	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202019%2013:10:55%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/assets/lib/vectormap/jquery-jvectormap-2.0.2.css	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/assets/lib/vectormap/jquery-jvectormap-2.0.2.css	(from http://www.aksisweb.com/theme/fixed/layouts-1/index.html)
00:26:23	18554/18554	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202019%2013:09:39%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/assets/img/icon.png	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/assets/img/icon.png	(from http://www.aksisweb.com/theme/fixed/layouts-1/index.html)
00:26:23	2043/2043	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202019%2013:10:19%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/assets/lib/chart-c3/c3.min.css	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/assets/lib/chart-c3/c3.min.css	(from http://www.aksisweb.com/theme/fixed/layouts-1/index.html)
00:26:24	13612/13612	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202019%2013:10:25%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/assets/lib/chartjs/chartjs-sass-default.css	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/assets/lib/chartjs/chartjs-sass-default.css	(from http://www.aksisweb.com/theme/fixed/layouts-1/index.html)
00:26:24	4998/4998	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202019%2013:10:27%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/assets/lib/datatables/jquery.dataTables.min.css	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/assets/lib/datatables/jquery.dataTables.min.css	(from http://www.aksisweb.com/theme/fixed/layouts-1/index.html)
00:26:25	3854/3854	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202019%2013:10:28%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/assets/lib/datatables/responsive.bootstrap.min.css	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/assets/lib/datatables/responsive.bootstrap.min.css	(from http://www.aksisweb.com/theme/fixed/layouts-1/index.html)
00:26:25	4508/4508	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202019%2013:10:55%20GMT	http://www.aksisweb.com/theme/fixed/layouts-1/assets/lib/toast/jquery.toast.min.css	C:/Mes%20Sites%20Web/admin%20siteweb%20Updev/www.aksisweb.com/theme/fixed/layouts-1/assets/lib/toast/jquery.toast.min.css	(from http://www.aksisweb.com/theme/fixed/layouts-1/index.html)
